DATE,IVIX
2015/2/10,28.2748833662032
2015/2/11,25.6308600996022
2015/2/12,24.4704633323824
2015/2/13,21.4636270966374
2015/2/16,21.7433515119272
2015/2/17,22.3695390357144
2015/2/25,25.2190104986166
2015/2/26,24.6843556799842
2015/2/27,27.0585230210699
2015/3/2,25.2221654854767
2015/3/3,25.5137403281029
2015/3/4,24.7760706130004
2015/3/5,23.8519965420552
2015/3/6,23.6688732460178
2015/3/9,24.1683955374901
2015/3/10,23.44832060778
2015/3/11,23.0001930858057
2015/3/12,22.4084957496793
2015/3/13,22.4595722893761
2015/3/16,22.0493086566271
2015/3/17,22.4118995603905
2015/3/18,22.2286683047524
2015/3/19,24.6076289075734
2015/3/20,23.857972129022
2015/3/23,25.97468921461
2015/3/24,28.2419513969396
2015/3/25,27.532922003948
2015/3/26,12.6767626354729
2015/3/27,13.2996459436287
2015/3/30,14.4137842047455
2015/3/31,26.0176697631891
2015/4/1,27.5298637601716
2015/4/2,29.2285977340861
2015/4/3,28.3715765538673
2015/4/7,26.380638395754
2015/4/8,29.299671181138
2015/4/9,32.433739726943
2015/4/10,30.6325423525679
2015/4/13,34.3582466586409
2015/4/14,36.76190422858
2015/4/15,36.5982808505326
2015/4/16,33.9282825278276
2015/4/17,36.9966933867059
2015/4/20,43.449885103256
2015/4/21,42.6484103030064
2015/4/22,40.025397827669
2015/4/23,41.2352529407718
2015/4/24,41.6671345036435
2015/4/27,45.0092463199736
2015/4/28,45.834729060054
2015/4/29,45.6036049588812
2015/4/30,46.1979441019809
2015/5/4,41.9610328533209
2015/5/5,41.3370642137789
2015/5/6,41.2926270368333
2015/5/7,42.1395551494401
2015/5/8,41.6715977334371
2015/5/11,41.5915545364517
2015/5/12,41.6908405917064
2015/5/13,41.4579959250495
2015/5/14,40.4809894002432
2015/5/15,37.2447607214559
2015/5/18,34.0160442921397
2015/5/19,34.3299840422156
2015/5/20,37.1460188436999
2015/5/21,38.0258022514629
2015/5/22,38.7333487003282
2015/5/25,41.1288764076631
2015/5/26,41.8519412775714
2015/5/27,42.8892823563355
2015/5/28,24.0318211360714
2015/5/29,34.032288811884
2015/6/1,42.1713839585267
2015/6/2,43.0685342456415
2015/6/3,43.3264830660704
2015/6/4,41.8493282073498
2015/6/5,41.9526954607409
2015/6/8,38.4329440922555
2015/6/9,42.9905360779766
2015/6/10,43.609520487296
2015/6/11,45.134803787738
2015/6/12,45.0140279069438
2015/6/15,43.5294793330629
2015/6/16,42.477011003794
2015/6/17,42.4700564471921
2015/6/18,41.9619162923043
2015/6/19,42.3985818755969
2015/6/23,48.3235074220111
2015/6/24,48.262302722527
2015/6/25,52.5490157386408
2015/6/26,61.761240343606
2015/6/29,20.09646016365
2015/6/30,26.4557675277099
2015/7/1,53.3078038866827
2015/7/2,54.9577590169193
2015/7/3,52.0386923447571
2015/7/6,56.8472545723886
2015/7/7,52.0376399136143
2015/7/8,48.0712727936174
2015/7/9,52.2649226153689
2015/7/10,51.2267325210377
2015/7/13,50.3535921534479
2015/7/14,46.6142129763129
2015/7/15,42.5155939247021
2015/7/16,39.0987383629445
2015/7/17,37.1662131268255
2015/7/20,36.5810800671313
2015/7/21,36.5706542911803
2015/7/22,31.3974199706499
2015/7/23,29.5385449794841
2015/7/24,29.7175835088035
2015/7/27,42.8414441246591
2015/7/28,49.2184369942644
2015/7/29,51.5346873313419
2015/7/30,47.3135888538185
2015/7/31,46.9046259523655
2015/8/3,37.6044407015488
2015/8/4,37.4681016102517
2015/8/5,37.4498594578247
2015/8/6,38.6925955074458
2015/8/7,38.0921700299653
2015/8/10,38.033833383922
2015/8/11,37.6896343192458
2015/8/12,37.2889766601822
2015/8/13,37.0513404752819
2015/8/14,37.0969815222975
2015/8/17,37.1682556045992
2015/8/18,34.1702985365779
2015/8/19,34.7085161747668
2015/8/20,34.2750967477438
2015/8/21,31.7737461744611
2015/8/24,15.997153091843
2015/8/25,38.0253822977674
2015/8/26,59.1584386854751
2015/8/27,17.8884330152942
2015/8/28,33.7866190421093
2015/8/31,41.8525229187333
2015/9/1,59.3435631457305
2015/9/2,56.8741460111037
2015/9/7,55.5821903711662
2015/9/8,44.8506429393713
2015/9/9,42.5968049087638
2015/9/10,38.794696805358
2015/9/11,37.9411535559263
2015/9/14,39.3065118096694
2015/9/15,41.4598103761822
2015/9/16,38.0912323271242
2015/9/17,38.019595908846
2015/9/18,37.5487820586245
2015/9/21,37.0872200231224
2015/9/22,34.3213688484279
2015/9/23,35.404012251249
2015/9/24,36.9907965308577
2015/9/25,33.2771943920785
2015/9/28,30.6245304662145
2015/9/29,29.9151060973104
2015/9/30,24.8118906036019
2015/10/8,28.4085157535806
2015/10/9,26.8818756209425
2015/10/12,26.1477816518657
2015/10/13,28.9265607621113
2015/10/14,28.5397432419945
2015/10/15,26.4903363518449
2015/10/16,26.2955232878472
2015/10/19,27.3348099625191
2015/10/20,27.9243064443205
2015/10/21,29.5414627283106
2015/10/22,28.8109967801573
2015/10/23,27.888623097651
2015/10/26,29.4832580142365
2015/10/27,27.6771650000514
2015/10/28,28.7077716490983
2015/10/29,34.5933604110051
2015/10/30,33.3361560692776
2015/11/2,27.115255749236
2015/11/3,27.2605953190941
2015/11/4,27.0288942171395
2015/11/5,29.4995186013607
2015/11/6,29.8081227769187
2015/11/9,39.3889479476795
2015/11/10,40.5492842151663
2015/11/11,37.1704589092901
2015/11/12,36.1932893748834
2015/11/13,35.2512659573407
2015/11/16,35.9643521708414
2015/11/17,35.321575585819
2015/11/18,34.5489989981398
