,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2018/9/4,50ETF沽9月2600,认沽,2.6,2018/9/26 0:00,0.0844
2018/9/4,50ETF沽9月2300,认沽,2.3,2018/9/26 0:00,0.003
2018/9/4,50ETF沽9月2750,认沽,2.75,2018/9/26 0:00,0.2011
2018/9/4,50ETF购9月2750,认购,2.75,2018/9/26 0:00,0.0048
2018/9/4,50ETF沽9月2550,认沽,2.55,2018/9/26 0:00,0.0573
2018/9/4,50ETF购9月2300,认购,2.3,2018/9/26 0:00,0.2538
2018/9/4,50ETF沽9月2200,认沽,2.2,2018/9/26 0:00,0.001
2018/9/4,50ETF沽9月3200,认沽,3.2,2018/9/26 0:00,0.6437
2018/9/4,50ETF沽10月2650,认沽,2.65,2018/10/24 0:00,0.1339
2018/9/4,50ETF沽10月2450,认沽,2.45,2018/10/24 0:00,0.0387
2018/9/4,50ETF沽10月2600,认沽,2.6,2018/10/24 0:00,0.1054
2018/9/4,50ETF沽10月2750,认沽,2.75,2018/10/24 0:00,0.212
2018/9/4,50ETF购10月2500,认购,2.5,2018/10/24 0:00,0.1135
2018/9/4,50ETF沽10月2500,认沽,2.5,2018/10/24 0:00,0.0569
2018/9/4,50ETF沽10月2550,认沽,2.55,2018/10/24 0:00,0.0788
2018/9/4,50ETF沽10月2350,认沽,2.35,2018/10/24 0:00,0.0178
2018/9/4,50ETF购10月2350,认购,2.35,2018/10/24 0:00,0.2255
2018/9/4,50ETF购10月2400,认购,2.4,2018/10/24 0:00,0.1837
2018/9/4,50ETF沽10月2400,认沽,2.4,2018/10/24 0:00,0.026
2018/9/4,50ETF购10月2550,认购,2.55,2018/10/24 0:00,0.0854
2018/9/4,50ETF沽10月2300,认沽,2.3,2018/10/24 0:00,0.0108
2018/9/4,50ETF购10月2600,认购,2.6,2018/10/24 0:00,0.0623
2018/9/4,50ETF购10月2700,认购,2.7,2018/10/24 0:00,0.03
2018/9/4,50ETF购10月2450,认购,2.45,2018/10/24 0:00,0.1461
2018/9/4,50ETF购10月2300,认购,2.3,2018/10/24 0:00,0.2653
2018/9/4,50ETF购10月2650,认购,2.65,2018/10/24 0:00,0.0442
2018/9/4,50ETF沽10月2700,认沽,2.7,2018/10/24 0:00,0.1724
2018/9/4,50ETF购10月2750,认购,2.75,2018/10/24 0:00,0.0195
2018/9/4,50ETF沽12月2200,认沽,2.2,2018/12/26 0:00,0.0205
2018/9/4,50ETF购12月2250,认购,2.25,2018/12/26 0:00,0.333
2018/9/4,50ETF购12月2200,认购,2.2,2018/12/26 0:00,0.3817
2018/9/4,50ETF购12月2350,认购,2.35,2018/12/26 0:00,0.2555
2018/9/4,50ETF沽12月2800,认沽,2.8,2018/12/26 0:00,0.28
2018/9/4,50ETF沽12月2900,认沽,2.9,2018/12/26 0:00,0.3618
2018/9/4,50ETF沽12月2500,认沽,2.5,2018/12/26 0:00,0.0983
2018/9/4,50ETF购12月2550,认购,2.55,2018/12/26 0:00,0.1311
2018/9/4,50ETF购12月2500,认购,2.5,2018/12/26 0:00,0.1572
2018/9/4,50ETF沽12月2300,认沽,2.3,2018/12/26 0:00,0.0353
2018/9/4,50ETF购12月2400,认购,2.4,2018/12/26 0:00,0.22
2018/9/4,50ETF沽12月2600,认沽,2.6,2018/12/26 0:00,0.1468
2018/9/4,50ETF沽12月2750,认沽,2.75,2018/12/26 0:00,0.2387
2018/9/4,50ETF沽12月2700,认沽,2.7,2018/12/26 0:00,0.2079
2018/9/4,50ETF购12月2700,认购,2.7,2018/12/26 0:00,0.07
2018/9/4,50ETF购12月2850,认购,2.85,2018/12/26 0:00,0.0341
2018/9/4,50ETF购12月2800,认购,2.8,2018/12/26 0:00,0.0445
2018/9/4,50ETF沽12月2950,认沽,2.95,2018/12/26 0:00,0.4056
2018/9/4,50ETF购12月2600,认购,2.6,2018/12/26 0:00,0.1067
2018/9/4,50ETF购12月2650,认购,2.65,2018/12/26 0:00,0.0871
2018/9/4,50ETF购12月2950,认购,2.95,2018/12/26 0:00,0.0197
2018/9/4,50ETF沽12月2550,认沽,2.55,2018/12/26 0:00,0.121
2018/9/4,50ETF沽12月2250,认沽,2.25,2018/12/26 0:00,0.0271
2018/9/4,50ETF沽12月2350,认沽,2.35,2018/12/26 0:00,0.0467
2018/9/4,50ETF沽12月2650,认沽,2.65,2018/12/26 0:00,0.1753
2018/9/4,50ETF购12月2450,认购,2.45,2018/12/26 0:00,0.187
2018/9/4,50ETF沽12月2400,认沽,2.4,2018/12/26 0:00,0.0607
2018/9/4,50ETF沽12月2850,认沽,2.85,2018/12/26 0:00,0.3201
2018/9/4,50ETF购12月2750,认购,2.75,2018/12/26 0:00,0.055
2018/9/4,50ETF购12月2300,认购,2.3,2018/12/26 0:00,0.2925
2018/9/4,50ETF购12月2900,认购,2.9,2018/12/26 0:00,0.0266
2018/9/4,50ETF沽12月2450,认沽,2.45,2018/12/26 0:00,0.0782
2018/9/4,50ETF购3月2550,认购,2.55,2019/3/27 0:00,0.1773
2018/9/4,50ETF购3月2750,认购,2.75,2019/3/27 0:00,0.0988
2018/9/4,50ETF购3月2300,认购,2.3,2019/3/27 0:00,0.3316
2018/9/4,50ETF沽3月2500,认沽,2.5,2019/3/27 0:00,0.133
2018/9/4,50ETF购3月2400,认购,2.4,2019/3/27 0:00,0.2628
2018/9/4,50ETF沽3月2350,认沽,2.35,2019/3/27 0:00,0.0784
2018/9/4,50ETF沽3月2800,认沽,2.8,2019/3/27 0:00,0.3078
2018/9/4,50ETF购3月2250,认购,2.25,2019/3/27 0:00,0.3679
2018/9/4,50ETF购3月2800,认购,2.8,2019/3/27 0:00,0.081
2018/9/4,50ETF沽3月2550,认沽,2.55,2019/3/27 0:00,0.1569
2018/9/4,50ETF购3月2650,认购,2.65,2019/3/27 0:00,0.1353
2018/9/4,50ETF沽3月2650,认沽,2.65,2019/3/27 0:00,0.2094
2018/9/4,50ETF购3月2500,认购,2.5,2019/3/27 0:00,0.2036
2018/9/4,50ETF沽3月2700,认沽,2.7,2019/3/27 0:00,0.2402
2018/9/4,50ETF沽3月2450,认沽,2.45,2019/3/27 0:00,0.1121
2018/9/4,50ETF沽3月2300,认沽,2.3,2019/3/27 0:00,0.0635
2018/9/4,50ETF沽3月2400,认沽,2.4,2019/3/27 0:00,0.0939
2018/9/4,50ETF购3月2700,认购,2.7,2019/3/27 0:00,0.1162
2018/9/4,50ETF沽3月2200,认沽,2.2,2019/3/27 0:00,0.0423
2018/9/4,50ETF沽3月2600,认沽,2.6,2019/3/27 0:00,0.1829
2018/9/4,50ETF购3月2450,认购,2.45,2019/3/27 0:00,0.2319
2018/9/4,50ETF购3月2200,认购,2.2,2019/3/27 0:00,0.407
2018/9/4,50ETF沽3月2750,认沽,2.75,2019/3/27 0:00,0.2738
2018/9/4,50ETF购3月2350,认购,2.35,2019/3/27 0:00,0.2985
2018/9/4,50ETF购3月2600,认购,2.6,2019/3/27 0:00,0.1549
2018/9/4,50ETF沽3月2250,认沽,2.25,2019/3/27 0:00,0.052
,,,,,
2018/9/5,50ETF购9月2500,认购,2.5,2018/9/26 0:00,0.0538
2018/9/5,50ETF购9月2350,认购,2.35,2018/9/26 0:00,0.1524
2018/9/5,50ETF购9月3500,认购,3.5,2018/9/26 0:00,0.0003
2018/9/5,50ETF沽9月2900,认沽,2.9,2018/9/26 0:00,0.4083
2018/9/5,50ETF购9月2700,认购,2.7,2018/9/26 0:00,0.0052
2018/9/5,50ETF沽9月3300,认沽,3.3,2018/9/26 0:00,0.8074
2018/9/5,50ETF沽9月2650,认沽,2.65,2018/9/26 0:00,0.1715
2018/9/5,50ETF沽9月2700,认沽,2.7,2018/9/26 0:00,0.214
2018/9/5,50ETF沽9月3000,认沽,3,2018/9/26 0:00,0.5019
2018/9/5,50ETF沽9月2450,认沽,2.45,2018/9/26 0:00,0.0413
2018/9/5,50ETF购9月3600,认购,3.6,2018/9/26 0:00,0.0004
2018/9/5,50ETF购9月2600,认购,2.6,2018/9/26 0:00,0.0202
2018/9/5,50ETF沽9月2850,认沽,2.85,2018/9/26 0:00,0.3524
