,1D,1W,2W,1M,3M,6M,9M,1Y
2018-12-7,2.4160,2.6110,2.6180,2.8280,3.1360,3.2770,3.4780,3.5250
2018-12-10,2.4530,2.6150,2.6220,2.8380,3.1420,3.2770,3.4780,3.5260
2018-12-11,2.4630,2.6240,2.6250,2.8480,3.1450,3.2740,3.4750,3.5210
2018-12-12,2.4240,2.6260,2.6310,2.8740,3.1470,3.2740,3.4770,3.5220
2018-12-13,2.5190,2.6360,2.6380,2.9000,3.1490,3.2730,3.4770,3.5200
2018-12-14,2.6550,2.6830,2.6760,2.9660,3.1560,3.2740,3.4790,3.5200
2018-12-17,2.6250,2.6970,2.7270,3.0020,3.1640,3.2750,3.4800,3.5200
2018-12-18,2.6690,2.6940,2.7670,3.0340,3.1740,3.2780,3.4820,3.5220
2018-12-19,2.6540,2.6900,2.7880,3.0470,3.1810,3.2780,3.4820,3.5240
2018-12-20,2.5670,2.6760,2.8190,3.1120,3.1990,3.2820,3.4810,3.5240
2018-12-21,2.4860,2.6490,2.8660,3.1540,3.2090,3.2840,3.4800,3.5170
2018-12-24,2.3160,2.6590,3.0300,3.2320,3.2300,3.2860,3.4800,3.5170
