DATE,IVIX
2015/2/10,28.274883366203174
2015/2/11,25.63086009960221
2015/2/12,24.47046333238244
2015/2/13,21.463627096637392
2015/2/16,21.74335151192724
2015/2/17,22.369539035714446
2015/2/25,25.219010498616573
2015/2/26,24.684355679984204
2015/2/27,27.058523021069934
2015/3/2,25.22216548547671
2015/3/3,25.51374032810293
2015/3/4,24.776070613000428
2015/3/5,23.851996542055165
2015/3/6,23.668873246017842
2015/3/9,24.16839553749011
2015/3/10,23.448320607780026
2015/3/11,23.000193085805705
2015/3/12,22.408495749679265
2015/3/13,22.45957228937612
2015/3/16,22.049308656627094
2015/3/17,22.411899560390456
2015/3/18,22.2286683047524
2015/3/19,24.60762890757336
2015/3/20,23.85797212902204
2015/3/23,25.97468921461004
2015/3/24,28.241951396939584
2015/3/25,27.532922003947967
2015/3/26,12.676762635472855
2015/3/27,13.299645943628697
2015/3/30,14.413784204745497
2015/3/31,26.017669763189144
2015/4/1,27.52986376017157
2015/4/2,29.228597734086055
2015/4/3,28.371576553867307
2015/4/7,26.380638395753962
2015/4/8,29.29967118113797
2015/4/9,32.43373972694295
2015/4/10,30.63254235256787
2015/4/13,34.35824665864093
2015/4/14,36.761904228580036
2015/4/15,36.59828085053263
2015/4/16,33.928282527827626
2015/4/17,36.99669338670591
2015/4/20,43.44988510325598
2015/4/21,42.64841030300635
2015/4/22,40.02539782766901
2015/4/23,41.23525294077178
2015/4/24,41.667134503643524
2015/4/27,45.00924631997357
2015/4/28,45.83472906005404
2015/4/29,45.60360495888121
2015/4/30,46.19794410198092
2015/5/4,41.96103285332092
2015/5/5,41.337064213778916
2015/5/6,41.29262703683326
2015/5/7,42.13955514944011
2015/5/8,41.6715977334371
2015/5/11,41.59155453645167
2015/5/12,41.69084059170639
2015/5/13,41.457995925049445
2015/5/14,40.480989400243224
2015/5/15,37.24476072145595
2015/5/18,34.01604429213971
2015/5/19,34.32998404221565
2015/5/20,37.14601884369986
2015/5/21,38.025802251462906
2015/5/22,38.733348700328214
2015/5/25,41.12887640766308
2015/5/26,41.85194127757135
2015/5/27,42.8892823563355
2015/5/28,24.031821136071404
2015/5/29,34.032288811884044
2015/6/1,42.17138395852667
2015/6/2,43.068534245641516
2015/6/3,43.32648306607038
2015/6/4,41.84932820734979
2015/6/5,41.952695460740884
2015/6/8,38.43294409225552
2015/6/9,42.99053607797662
2015/6/10,43.609520487295974
2015/6/11,45.13480378773801
2015/6/12,45.014027906943774
2015/6/15,43.52947933306289
2015/6/16,42.47701100379397
2015/6/17,42.47005644719214
2015/6/18,41.96191629230434
2015/6/19,42.39858187559694
2015/6/23,48.32350742201107
2015/6/24,48.26230272252702
2015/6/25,52.54901573864085
2015/6/26,61.76124034360597
2015/6/29,20.096460163649965
2015/6/30,26.4557675277099
2015/7/1,53.307803886682706
2015/7/2,54.95775901691935
2015/7/3,52.038692344757045
2015/7/6,56.84725457238859
2015/7/7,52.03763991361434
2015/7/8,48.07127279361738
2015/7/9,52.264922615368846
2015/7/10,51.226732521037675
2015/7/13,50.35359215344788
2015/7/14,46.614212976312906
2015/7/15,42.515593924702124
2015/7/16,39.098738362944545
2015/7/17,37.166213126825475
2015/7/20,36.58108006713132
2015/7/21,36.570654291180254
2015/7/22,31.39741997064991
2015/7/23,29.538544979484072
2015/7/24,29.71758350880348
2015/7/27,42.8414441246591
2015/7/28,49.21843699426437
2015/7/29,51.53468733134192
2015/7/30,47.31358885381846
2015/7/31,46.90462595236552
2015/8/3,37.6044407015488
2015/8/4,37.46810161025168
2015/8/5,37.449859457824736
2015/8/6,38.69259550744577
2015/8/7,38.09217002996526
2015/8/10,38.03383338392203
2015/8/11,37.6896343192458
2015/8/12,37.28897666018224
2015/8/13,37.05134047528188
2015/8/14,37.09698152229752
2015/8/17,37.16825560459924
2015/8/18,34.170298536577945
2015/8/19,34.70851617476684
2015/8/20,34.275096747743774
2015/8/21,31.77374617446113
2015/8/24,15.997153091843016
2015/8/25,38.02538229776738
2015/8/26,59.158438685475126
2015/8/27,17.88843301529423
2015/8/28,33.786619042109336
2015/8/31,41.8525229187333
2015/9/1,59.34356314573051
2015/9/2,56.87414601110367
2015/9/7,55.58219037116615
2015/9/8,44.85064293937125
2015/9/9,42.59680490876377
2015/9/10,38.794696805358
2015/9/11,37.941153555926256
2015/9/14,39.306511809669416
2015/9/15,41.45981037618218
2015/9/16,38.091232327124224
2015/9/17,38.019595908846036
2015/9/18,37.54878205862448
2015/9/21,37.08722002312245
2015/9/22,34.321368848427944
2015/9/23,35.40401225124903
2015/9/24,36.990796530857715
2015/9/25,33.27719439207852
2015/9/28,30.624530466214534
2015/9/29,29.915106097310357
2015/9/30,24.811890603601945
2015/10/8,28.408515753580588
2015/10/9,26.88187562094254
2015/10/12,26.14778165186575
2015/10/13,28.926560762111347
2015/10/14,28.539743241994497
2015/10/15,26.490336351844903
2015/10/16,26.29552328784716
2015/10/19,27.334809962519095
2015/10/20,27.924306444320507
2015/10/21,29.54146272831059
2015/10/22,28.810996780157332
2015/10/23,27.888623097650996
2015/10/26,29.483258014236473
2015/10/27,27.677165000051428
2015/10/28,28.70777164909828
2015/10/29,34.59336041100506
2015/10/30,33.33615606927763
2015/11/2,27.115255749236017
2015/11/3,27.260595319094065
2015/11/4,27.02889421713953
2015/11/5,29.499518601360702
2015/11/6,29.808122776918726
2015/11/9,39.38894794767947
2015/11/10,40.54928421516625
2015/11/11,37.170458909290076
2015/11/12,36.1932893748834
2015/11/13,35.25126595734067
2015/11/16,35.96435217084141
2015/11/17,35.32157558581902
